                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.934,                 7.4992,                 2.3053,                0.25005,                0.04167,                 0.0001,                  7e-05,                 1.5811,                 15.489,                0.82886,                      0,                      0,                      0
                      2,                 3.2053,                 7.1501,                 2.2754,                0.20837,                0.04167,                 0.0001,                  7e-05,                 1.5928,                  15.38,                0.83059,             1.1841e-06,             1.1841e-06,             1.1841e-06
                      3,                 2.6131,                 6.3974,                 2.2882,                0.04169,                0.04167,                  9e-05,                  6e-05,                 1.6073,                 15.298,                0.83479,             2.3564e-06,             2.3564e-06,             2.3564e-06
                      4,                 2.8242,                 7.1584,                 2.1968,                  3e-05,                0.04167,                  8e-05,                  6e-05,                 1.6064,                 15.228,                0.83738,              3.517e-06,              3.517e-06,              3.517e-06
                      5,                  2.916,                 7.0121,                 2.1578,                  3e-05,                0.04167,                  8e-05,                  5e-05,                 1.6079,                 15.147,                0.83904,             4.6658e-06,             4.6658e-06,             4.6658e-06
                      6,                  2.826,                 6.9982,                 2.2309,                  3e-05,                0.04167,                  7e-05,                  5e-05,                 1.6203,                 15.081,                0.84448,             5.8027e-06,             5.8027e-06,             5.8027e-06
                      7,                 3.2685,                 7.1426,                  2.294,                  3e-05,                0.04167,                  7e-05,                  4e-05,                 1.6435,                 14.939,                0.85284,             6.9279e-06,             6.9279e-06,             6.9279e-06
                      8,                 3.0291,                 6.8414,                 2.2939,                  3e-05,                0.04167,                  7e-05,                  4e-05,                 1.6573,                 14.804,                0.85877,             8.0414e-06,             8.0414e-06,             8.0414e-06
                      9,                 2.9892,                 6.7684,                 2.0512,                  3e-05,                0.04167,                  6e-05,                  4e-05,                 1.6616,                  14.67,                0.86089,              9.143e-06,              9.143e-06,              9.143e-06
                     10,                 3.1363,                 7.0117,                 2.2782,                  4e-05,                0.04167,                  6e-05,                  4e-05,                 1.6697,                 14.565,                 0.8638,             1.0233e-05,             1.0233e-05,             1.0233e-05
                     11,                 2.6858,                 6.5341,                 2.1154,                  5e-05,                0.04167,                  9e-05,                  6e-05,                 1.6784,                 14.428,                 0.8664,             1.1311e-05,             1.1311e-05,             1.1311e-05
                     12,                 2.6125,                 6.4867,                 1.9208,                  6e-05,                0.04167,                0.00011,                  7e-05,                 1.6831,                 14.299,                0.87393,             1.2377e-05,             1.2377e-05,             1.2377e-05
                     13,                 2.3878,                 5.9893,                 1.8975,                  6e-05,                0.04167,                 0.0001,                  7e-05,                 1.6849,                 14.175,                 0.8768,             1.3432e-05,             1.3432e-05,             1.3432e-05
                     14,                 3.1177,                 6.7372,                 2.2951,                  7e-05,                0.04167,                0.00011,                  7e-05,                 1.6677,                 14.095,                0.87539,             1.4475e-05,             1.4475e-05,             1.4475e-05
